"","W1","W2","W3","W4","W5","Count"
"1","einen","guten","start","in","die",48
"2","start","in","die","neue","woche",38
"3","guten","start","in","die","neue",29
"4","guten","start","in","die","woche",24
"5","handelt","es","sich","um","eine",18
"6","auf","dem","weg","in","die",17
"7","was","ist","denn","das","für",16
"8","allen","einen","guten","start","in",15
"9","auf","der","suche","nach","einem",15
"10","in","den","griff","zu","bekommen",15
"11","mehr","als","die","hälfte","der",14
"12","ich","wünsche","euch","einen","schönen",13
"13","auf","dem","weg","nach","hause",13
"14","ich","wünsche","euch","allen","einen",13
"15","die","art","und","weise","wie",13
"16","wie","geil","ist","das","denn",12
"17","euch","einen","guten","start","in",12
"18","und","einen","guten","start","in",12
"19","wir","freuen","uns","auf","euch",12
"20","guten","rutsch","ins","neue","jahr",12
"21","wünsche","euch","allen","einen","schönen",12
"22","es","kann","nicht","sein","dass",12
"23","auf","der","suche","nach","einer",11
"24","das","ist","auch","gut","so",11
"25","two","and","a","half","men",11
"26","was","ist","das","denn","für",11
"27","ich","freu","mich","schon","auf",11
"28","im","wahrsten","sinne","des","wortes",11
"29","in","einer","zeit","in","der",11
"30","ursula","von","der","leyen","cdu",11
"31","in","den","ersten","neun","monaten",11
"32","auf","dem","weg","zur","arbeit",10
"33","derzeitige","prima","#primzahl","ist","die",10
"34","nur","eine","frage","der","zeit",10
"35","die","staats","und","regierungschefs","der",10
"36","in","den","vergangenen","zehn","jahren",10
"37","guten","morgen","und","einen","schönen",9
"38","vielen","dank","an","alle","die",9
"39","gewidmet","warum","ich","#primzahlen","twittere",9
"40","warum","ich","#primzahlen","twittere","keine",9
"41","ich","#primzahlen","twittere","keine","ahnung",9
"42","einen","guten","rutsch","ins","neue",9
"43","ich","gehe","davon","aus","dass",9
"44","bin","ich","froh","dass","ich",9
"45","schritt","in","die","richtige","richtung",9
"46","in","der","nacht","zum","donnerstag",9
"47","einen","guten","morgen","und","einen",8
"48","wieder","auf","dem","weg","nach",8
"49","was","ist","das","für","ein",8
"50","ist","denn","das","für","ein",8
"51","und","das","ist","auch","gut",8
"52","euch","allen","einen","guten","start",8
"53","sex","in","berlin","im","handel",8
"54","in","berlin","im","handel","und",8
"55","berlin","im","handel","und","portofrei",8
"56","im","handel","und","portofrei","für",8
"57","handel","und","portofrei","für","9,80",8
"58","und","portofrei","für","9,80","bei",8
"59","portofrei","für","9,80","bei","amazon.de",8
"60","für","9,80","bei","amazon.de","oder",8
"61","9,80","bei","amazon.de","oder","buecher.de",8
"62","dir","auch","einen","guten","morgen",8
"63","lesen","kann","ist","klar","im",8
"64","kann","ist","klar","im","vorteil",8
"65","das","ist","hier","die","frage",8
"66","ich","weiß","nicht","ob","ich",8
"67","7","was","das","wochenende","angeht",8
"68","was","das","wochenende","angeht","heute",8
"69","das","wochenende","angeht","heute","abend",8
"70","wochenende","angeht","heute","abend","freue",8
"71","angeht","heute","abend","freue","ich",8
"72","heute","abend","freue","ich","mich",8
"73","abend","freue","ich","mich","auf",8
"74","in","polen","und","der","ukraine",8
"75","in","der","nacht","zum","montag",8
"76","seit","mehr","als","zehn","jahren",8
"77","im","gespräch","mit","unserer","zeitung",8
"78","ich","geh","jetzt","ins","bett",7
"79","noch","nie","in","meinem","leben",7
"80","ich","schon","lange","nicht","mehr",7
"81","wünsche","euch","einen","guten","start",7
"82","ein","tolles","wochenende","und","viel",7
"83","tolles","wochenende","und","viel","spaß",7
"84","wochenende","und","viel","spaß","im",7
"85","und","viel","spaß","im","kino",7
"86","sieht","so","aus","als","ob",7
"87","das","wünsche","ich","dir","auch",7
"88","was","tut","man","nicht","alles",7
"89","auch","nicht","mehr","das","was",7
"90","freu","mich","schon","auf","die",7
"91","wünsche","allen","eine","gute","nacht",7
"92","danke","an","alle","die","da",7
"93","an","alle","die","da","waren",7
"94","robert","cias","debütroman","sex","in",7
"95","cias","debütroman","sex","in","berlin",7
"96","debütroman","sex","in","berlin","im",7
"97","müde","bin","ich","geh","zur",7
"98","und","das","ist","gut","so",7
"99","ich","freue","mich","auf","die",7
"100","in","einer","welt","in","der",7
"101","wer","lesen","kann","ist","klar",7
"102","wenn","das","so","weiter","geht",7
"103","guten","morgen","in","die","runde",7
"104","ich","bin","dann","mal","weg",7
"105","auf","die","suche","nach","einem",7
